## [iView]
## Converted from:	C:\Dokumente und Einstellungen\iViewX\Desktop\Praktikum_Output\Daniela.idf
## Date:	25.02.2005 13:26:27
## Version:	IDF Converter 2.01 build 30
## Sample Rate:	50
## [Trial]
## User:	
## Trial:	
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	768	576
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	n.a.
## Reversed:	none
## Format:	LEFT, DIAMETER
## 
Time	Type	Set	L Dia X [px]	L Dia Y [px]
1582533237	SMP	1	74.07	61.20
1582553266	SMP	1	72.82	65.30
1582573223	SMP	1	71.21	65.46
1582593243	SMP	1	71.42	63.19
1582613201	SMP	1	72.71	64.32
1582633224	SMP	1	73.18	66.63
1582653182	SMP	1	72.26	63.02
1582673205	SMP	1	72.21	64.24
1582693164	SMP	1	73.07	65.45
1582713186	SMP	1	71.75	66.10
1582733144	SMP	1	71.55	65.38
1582753166	SMP	1	72.88	66.15
1582773124	SMP	1	71.25	66.07
1582793144	SMP	1	72.23	65.07
1582813105	SMP	1	72.59	66.29
1582833127	SMP	1	72.59	65.98
1582853084	SMP	1	73.10	65.32
1582873102	SMP	1	76.11	66.10
1582893067	SMP	1	71.27	63.82
1582913086	SMP	1	72.50	67.04
1582933048	SMP	1	73.15	67.59
1582953073	SMP	1	70.85	65.83
1582973026	SMP	1	71.77	64.16
1582993050	SMP	1	71.88	65.07
1583013011	SMP	1	72.70	65.40
1583033027	SMP	1	73.43	64.40
1583052988	SMP	1	72.15	66.95
1583073009	SMP	1	70.38	62.01
1583092969	SMP	1	76.29	65.18
1583112988	SMP	1	72.56	65.29
1583132948	SMP	1	71.56	66.29
1583152970	SMP	1	73.54	64.51
1583172927	SMP	1	72.81	65.64
1583192949	SMP	1	70.36	63.24
1583212908	SMP	1	72.00	65.39
1583232928	SMP	1	71.50	61.31
1583252896	SMP	1	71.16	65.20
1583272909	SMP	1	72.59	65.93
1583292867	SMP	1	73.46	63.42
1583312891	SMP	1	73.73	63.32
1583332849	SMP	1	72.47	67.24
1583352870	SMP	1	72.31	66.54
1583372829	SMP	1	72.23	63.94
1583392853	SMP	1	71.49	64.67
1583412809	SMP	1	71.65	66.06
1583432832	SMP	1	72.76	62.34
1583452787	SMP	1	72.51	64.24
1583472810	SMP	1	72.44	64.16
1583492771	SMP	1	72.82	65.22
1583512793	SMP	1	71.81	67.01
1583532750	SMP	1	71.69	68.09
1583552774	SMP	1	73.15	68.15
1583572729	SMP	1	71.79	62.29
1583592751	SMP	1	73.33	62.18
1583612713	SMP	1	72.50	66.28
1583632734	SMP	1	71.30	66.11
1583652693	SMP	1	71.51	65.18
1583672715	SMP	1	72.11	60.51
1583692670	SMP	1	73.10	62.52
1583712694	SMP	1	74.69	64.45
1583732654	SMP	1	72.46	63.53
1583752678	SMP	1	72.53	64.88
1583772630	SMP	1	72.89	68.03
1583792654	SMP	1	72.64	65.07
1583812615	SMP	1	73.47	66.14
1583832638	SMP	1	72.64	64.38
1583852596	SMP	1	72.89	65.99
1583872614	SMP	1	75.13	65.35
1583892577	SMP	1	73.55	67.00
1583912596	SMP	1	74.08	67.52
1583932564	SMP	1	73.56	64.42
1583952577	SMP	1	73.44	64.13
1583972536	SMP	1	75.22	66.00
1583992559	SMP	1	73.09	66.62
1584012516	SMP	1	72.88	62.70
1584032536	SMP	1	71.36	65.14
1584052497	SMP	1	71.93	65.65
1584072518	SMP	1	72.23	66.04
1584092479	SMP	1	71.82	63.06
1584112499	SMP	1	72.53	63.73
1584132457	SMP	1	72.55	65.33
1584152479	SMP	1	72.61	67.85
1584172436	SMP	1	73.12	66.23
1584192459	SMP	1	72.15	65.32
1584212416	SMP	1	72.59	62.87
1584232439	SMP	1	72.62	64.99
1584252397	SMP	1	73.89	65.21
1584272421	SMP	1	71.45	62.26
1584292377	SMP	1	71.67	66.68
1584312400	SMP	1	73.65	63.24
1584332360	SMP	1	73.00	66.18
1584352381	SMP	1	72.50	67.22
1584372338	SMP	1	72.66	65.57
1584392363	SMP	1	71.38	65.29
1584412319	SMP	1	72.52	66.21
1584432342	SMP	1	72.48	64.50
1584452302	SMP	1	71.10	67.35
1584472321	SMP	1	72.42	64.56
1584492280	SMP	1	72.43	70.11
1584512302	SMP	1	73.27	64.11
1584532259	SMP	1	73.19	66.22
1584552282	SMP	1	71.42	64.96
1584572242	SMP	1	72.00	67.16
1584592262	SMP	1	71.69	67.26
1584612220	SMP	1	75.05	67.21
1584632246	SMP	1	73.44	65.22
1584652204	SMP	1	74.50	64.34
1584672223	SMP	1	73.85	64.21
1584692181	SMP	1	74.77	67.96
1584712205	SMP	1	70.27	65.21
1584732163	SMP	1	71.85	65.39
1584752186	SMP	1	72.34	65.60
1584772145	SMP	1	72.87	67.01
1584792164	SMP	1	71.44	64.56
1584812125	SMP	1	72.51	65.42
1584832147	SMP	1	73.03	66.68
1584852103	SMP	1	71.51	66.18
1584872126	SMP	1	72.45	65.19
1584892086	SMP	1	72.11	68.61
1584912104	SMP	1	72.26	65.28
1584932065	SMP	1	73.84	64.78
1584952092	SMP	1	72.09	65.37
1584972045	SMP	1	75.16	68.29
1584992068	SMP	1	71.56	64.55
1585012026	SMP	1	73.50	66.15
1585032046	SMP	1	73.64	66.31
1585052003	SMP	1	76.42	68.10
1585072029	SMP	1	74.07	64.52
1585091988	SMP	1	73.15	66.49
1585112008	SMP	1	72.61	65.35
1585131967	SMP	1	71.07	66.00
1585151991	SMP	1	74.57	67.14
1585171945	SMP	1	73.33	66.27
1585191966	SMP	1	73.08	64.73
1585211928	SMP	1	71.71	65.55
1585231948	SMP	1	72.28	65.67
1585251909	SMP	1	71.51	65.32
1585271930	SMP	1	72.15	64.72
1585291887	SMP	1	72.70	65.97
1585311911	SMP	1	72.54	65.33
1585331865	SMP	1	73.71	68.17
1585351890	SMP	1	71.82	66.20
1585371850	SMP	1	74.97	65.63
1585391872	SMP	1	71.07	64.90
1585411831	SMP	1	73.22	66.35
1585431852	SMP	1	72.26	65.38
1585451810	SMP	1	72.26	67.63
1585471829	SMP	1	73.53	64.12
1585491790	SMP	1	74.26	65.82
1585511814	SMP	1	70.89	64.22
1585531768	SMP	1	71.39	64.10
1585551789	SMP	1	70.77	64.26
1585571752	SMP	1	72.35	67.36
1585591774	SMP	1	71.41	65.14
1585611727	SMP	1	73.54	68.09
1585631760	SMP	1	72.10	65.06
1585651712	SMP	1	72.04	64.35
1585671733	SMP	1	72.25	64.09
1585691693	SMP	1	72.56	65.10
1585711714	SMP	1	71.43	65.20
1585731672	SMP	1	73.70	66.19
1585751691	SMP	1	71.78	65.12
1585771653	SMP	1	75.38	65.03
1585791676	SMP	1	72.42	62.30
1585811635	SMP	1	72.10	67.19
1585831656	SMP	1	74.19	66.18
1585851614	SMP	1	71.74	67.16
1585871637	SMP	1	72.19	63.21
1585891590	SMP	1	71.33	64.50
1585911615	SMP	1	72.23	64.13
1585931585	SMP	1	71.45	64.07
1585951597	SMP	1	73.70	64.20
1585971554	SMP	1	73.36	65.73
1585991578	SMP	1	72.25	64.59
1586011537	SMP	1	74.52	65.09
1586031552	SMP	1	74.45	67.13
1586051517	SMP	1	72.99	65.05
1586071539	SMP	1	72.49	65.30
1586091498	SMP	1	72.51	66.55
1586111519	SMP	1	73.34	68.29
1586131478	SMP	1	72.41	64.53
1586151501	SMP	1	73.76	65.15
1586171451	SMP	1	72.72	66.10
1586191480	SMP	1	73.38	65.82
1586211438	SMP	1	72.77	63.45
1586231458	SMP	1	71.98	64.91
1586251418	SMP	1	72.77	67.26
1586271439	SMP	1	73.55	65.13
1586291396	SMP	1	73.25	64.51
1586311415	SMP	1	71.18	67.10
1586331378	SMP	1	71.93	69.85
1586351399	SMP	1	71.18	65.20
1586371361	SMP	1	73.10	65.02
1586391382	SMP	1	70.75	62.64
1586411338	SMP	1	73.41	62.02
1586431362	SMP	1	71.39	64.50
1586451315	SMP	1	73.27	65.32
1586471341	SMP	1	72.19	63.42
1586491299	SMP	1	72.38	66.22
1586511322	SMP	1	71.24	63.41
1586531277	SMP	1	72.35	61.53
1586551296	SMP	1	72.76	62.79
1586571263	SMP	1	71.94	65.59
1586591278	SMP	1	72.29	66.13
1586611247	SMP	1	73.25	64.08
1586631264	SMP	1	72.02	65.09
1586651223	SMP	1	72.62	65.08
1586671242	SMP	1	73.06	64.13
1586691202	SMP	1	71.11	66.12
1586711224	SMP	1	75.06	67.15
1586731179	SMP	1	72.50	65.12
1586751206	SMP	1	72.27	65.61
1586771161	SMP	1	71.97	61.31
1586791186	SMP	1	71.13	64.34
1586811144	SMP	1	71.65	65.23
1586831166	SMP	1	72.20	63.36
1586851121	SMP	1	72.08	64.05
1586871140	SMP	1	71.47	63.29
1586891104	SMP	1	73.36	64.06
1586911125	SMP	1	71.48	65.23
1586931086	SMP	1	71.25	64.18
1586951105	SMP	1	73.95	62.62
1586971064	SMP	1	71.71	66.28
1586991087	SMP	1	72.21	65.18
1587011045	SMP	1	74.40	65.24
1587031066	SMP	1	72.81	66.53
1587051027	SMP	1	70.80	64.28
1587071048	SMP	1	72.22	64.12
1587091006	SMP	1	72.75	63.08
1587111028	SMP	1	71.94	62.21
1587130987	SMP	1	73.40	66.29
1587151007	SMP	1	72.95	66.26
1587170965	SMP	1	74.31	66.27
1587190989	SMP	1	72.31	62.76
1587210948	SMP	1	73.83	66.29
1587230967	SMP	1	71.35	60.51
1587250929	SMP	1	69.22	50.89
1587270949	SMP	1	69.46	39.49
1587290914	SMP	1	0.00	0.00
1587310930	SMP	1	0.00	0.00
1587330896	SMP	1	0.00	0.00
1587350909	SMP	1	0.00	0.00
1587370870	SMP	1	0.00	0.00
1587390892	SMP	1	0.00	0.00
1587410850	SMP	1	0.00	0.00
1587430873	SMP	1	0.00	0.00
1587450830	SMP	1	0.00	0.00
1587470850	SMP	1	66.46	49.48
1587490809	SMP	1	68.95	56.35
1587510832	SMP	1	69.92	57.47
1587530788	SMP	1	68.65	60.09
1587550807	SMP	1	70.42	62.30
1587570770	SMP	1	71.60	61.90
1587590793	SMP	1	70.64	62.03
1587610753	SMP	1	68.81	65.09
1587630797	SMP	1	70.23	64.91
1587650730	SMP	1	72.38	64.47
1587670753	SMP	1	73.42	63.33
1587690711	SMP	1	71.58	67.18
1587710735	SMP	1	70.57	64.10
1587730693	SMP	1	71.53	65.25
1587750715	SMP	1	72.10	62.21
1587770673	SMP	1	71.79	62.58
1587790694	SMP	1	71.32	62.79
1587810654	SMP	1	70.77	64.23
1587830676	SMP	1	69.99	64.05
1587850633	SMP	1	73.03	62.12
1587870654	SMP	1	72.05	66.94
1587890614	SMP	1	71.86	65.71
1587910635	SMP	1	70.23	63.42
1587930594	SMP	1	70.40	65.31
1587950617	SMP	1	71.51	63.48
1587970575	SMP	1	70.01	67.48
1587990598	SMP	1	72.88	62.72
1588010555	SMP	1	71.36	64.37
1588030575	SMP	1	69.31	66.18
1588050536	SMP	1	72.31	65.18
1588070558	SMP	1	72.20	67.00
1588090516	SMP	1	72.29	64.53
1588110538	SMP	1	72.35	65.17
1588130496	SMP	1	71.60	65.17
1588150520	SMP	1	71.14	68.24
1588170476	SMP	1	71.97	65.65
1588190497	SMP	1	70.66	63.75
1588210456	SMP	1	71.66	66.13
1588230478	SMP	1	70.23	64.53
1588250435	SMP	1	71.97	61.76
1588270457	SMP	1	72.45	61.33
1588290417	SMP	1	71.71	67.26
