## [iView]
## Converted from:	C:\Dokumente und Einstellungen\iViewX\Desktop\Praktikum_Output\Jasper.idf
## Date:	25.02.2005 14:09:04
## Version:	IDF Converter 2.01 build 30
## Sample Rate:	50
## [Trial]
## User:	
## Trial:	
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	768	576
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	n.a.
## Reversed:	none
## Format:	LEFT, DIAMETER
## 
Time	Type	Set	L Dia X [px]	L Dia Y [px]
4193467930	SMP	1	62.35	46.53
4193487893	SMP	1	63.51	56.52
4193507912	SMP	1	64.60	60.39
4193527875	SMP	1	65.66	62.32
4193547892	SMP	1	65.37	63.22
4193567854	SMP	1	65.38	64.26
4193587875	SMP	1	65.09	64.55
4193607835	SMP	1	65.39	64.47
4193627854	SMP	1	66.50	64.58
4193647815	SMP	1	65.80	64.48
4193667837	SMP	1	67.68	64.18
4193687791	SMP	1	66.52	64.26
4193707814	SMP	1	65.46	64.34
4193727773	SMP	1	66.82	64.52
4193747793	SMP	1	66.51	65.39
4193767752	SMP	1	65.90	64.36
4193787784	SMP	1	65.97	64.66
4193807735	SMP	1	66.73	64.41
4193827753	SMP	1	66.77	64.30
4193847712	SMP	1	66.88	63.61
4193867738	SMP	1	65.31	64.25
4193887693	SMP	1	65.90	64.33
4193907718	SMP	1	66.44	64.28
4193927674	SMP	1	67.71	63.61
4193947696	SMP	1	66.70	64.45
4193967652	SMP	1	66.47	64.30
4193987680	SMP	1	66.28	65.10
4194007637	SMP	1	66.37	64.54
4194027656	SMP	1	66.13	64.31
4194047614	SMP	1	65.86	62.66
4194067639	SMP	1	65.79	64.50
4194087608	SMP	1	65.65	63.63
4194107617	SMP	1	66.65	64.54
4194127578	SMP	1	66.36	65.40
4194147601	SMP	1	67.86	65.18
4194167558	SMP	1	67.35	64.29
4194187578	SMP	1	65.98	63.42
4194207538	SMP	1	66.79	64.41
4194227559	SMP	1	66.52	64.43
4194247521	SMP	1	65.67	63.36
4194267540	SMP	1	65.91	64.35
4194287498	SMP	1	66.48	63.38
4194307520	SMP	1	66.72	62.50
4194327478	SMP	1	65.98	64.33
4194347500	SMP	1	66.41	63.59
4194367459	SMP	1	65.90	64.29
4194387479	SMP	1	67.30	64.36
4194407438	SMP	1	66.87	64.46
4194427461	SMP	1	67.13	64.62
4194447421	SMP	1	66.59	64.45
4194467442	SMP	1	66.59	63.58
4194487401	SMP	1	65.30	64.38
4194507422	SMP	1	66.78	64.39
4194527380	SMP	1	65.55	64.58
4194547404	SMP	1	65.69	63.61
4194567362	SMP	1	66.62	63.39
4194587383	SMP	1	66.53	63.36
4194607341	SMP	1	66.10	64.42
4194627364	SMP	1	66.59	63.54
4194647321	SMP	1	65.96	63.38
4194667343	SMP	1	66.63	64.45
4194687302	SMP	1	66.56	64.44
4194707323	SMP	1	66.43	64.29
4194727281	SMP	1	67.50	65.15
4194747305	SMP	1	66.78	65.30
4194767261	SMP	1	67.24	64.14
4194787284	SMP	1	66.75	63.28
4194807243	SMP	1	66.16	64.44
4194827265	SMP	1	65.60	64.42
4194847223	SMP	1	65.70	64.51
4194867245	SMP	1	66.87	63.61
4194887202	SMP	1	65.82	63.37
4194907225	SMP	1	67.48	64.47
4194927183	SMP	1	66.47	64.60
4194947202	SMP	1	66.75	64.26
4194967163	SMP	1	65.33	65.25
4194987184	SMP	1	66.89	64.38
4195007145	SMP	1	65.69	65.42
4195027167	SMP	1	66.60	63.51
4195047123	SMP	1	65.77	63.43
4195067144	SMP	1	66.93	65.33
4195087106	SMP	1	65.79	64.50
4195107134	SMP	1	67.74	63.92
4195127086	SMP	1	67.04	64.39
4195147106	SMP	1	66.02	63.68
4195167065	SMP	1	66.94	65.31
4195187087	SMP	1	66.72	64.33
4195207044	SMP	1	67.66	65.28
4195227069	SMP	1	67.10	64.27
